Depth,Qc,Fs,u
1.5,0,0,0
1.51,0,0,0
1.52,0,0,0
1.53,0,0,0
1.54,0,0,0
1.55,0,0,0
1.56,0,0,0
1.57,0,0,0
1.58,0,0,0
1.59,0,0,0
1.6,0,0,0
1.61,0,0,0
1.62,0,0,0
1.63,0,0,0
1.64,0,0,0
1.65,0,0,0
1.66,0,0,0
1.67,0,0,0
1.68,0,0,0
1.69,0,0,0
1.7,0,0,0
1.71,0,0,0
1.72,0,0,0
1.73,0,0,0
1.74,0,0,0
1.75,0,0,0
1.76,0,0,0
1.77,0,0,0
1.78,0,0,0
1.79,0,0,0
1.8,0,0,0
1.81,0,0,0
1.82,0,0,0
1.83,0,0,0
1.84,0,0,0
1.85,0,0,0
1.86,0,0,0
1.87,0,0,0
1.88,0,0,0
1.89,0,0,0
1.9,0,0,0
1.91,0,0,0
1.92,0,0,0
1.93,0,0,0
1.94,0,0,0
1.95,0,0,0
1.96,0,0,0
1.97,0,0,0
1.98,0,0.0001,0
1.99,0,0.0001,0
2,0,0.0002,0
2.01,0,0.0002,0
2.02,0,0.0002,0
2.03,0,0.0003,0
2.04,0,0.0003,0
2.05,0,0.0003,0
2.06,0,0.0003,0
2.07,0,0.0003,-0.0001
2.08,0,0.0003,-0.0002
2.09,0,0.0003,-0.0002
2.1,0,0.0003,-0.0002
2.11,0,0.0003,-0.0002
2.12,0,0.0003,-0.0002
2.13,0,0.0003,-0.0002
2.14,0,0.0003,-0.0002
2.15,0,0.0003,-0.0002
2.16,0,0.0002,-0.0002
2.17,0,0.0002,-0.0002
2.18,0,0.0002,-0.0002
2.19,0,0.0003,-0.0002
2.2,0,0.0003,-0.0002
2.21,0,0.0003,-0.0002
2.22,0,0.0003,-0.0002
2.23,0,0.0003,-0.0002
2.24,0,0.0003,-0.0002
2.25,0,0.0003,-0.0002
2.26,0,0.0003,-0.0002
2.27,0,0.0003,-0.0002
2.28,0,0.0003,-0.0002
2.29,0,0.0003,-0.0002
2.3,0,0.0003,-0.0002
2.31,0,0.0003,-0.0002
2.32,0,0.0003,-0.0002
2.33,0,0.0003,-0.0002
2.34,0,0.0003,-0.0002
2.35,0,0.0003,-0.0002
2.36,0,0.0003,-0.0002
2.37,0,0.0003,-0.0003
2.38,0,0.0003,-0.0003
2.39,0,0.0003,-0.0003
2.4,0,0.0003,-0.0002
2.41,0,0.0003,-0.0002
2.42,0,0.0003,-0.0002
2.43,0,0.0003,-0.0002
2.44,0,0.0003,-0.0002
2.45,0,0.0003,-0.0002
2.46,0,0.0003,-0.0002
2.47,0,0.0003,-0.0002
2.48,0,0.0003,-0.0002
2.49,0,0.0003,-0.0002
2.5,0,0.0003,-0.0002
2.51,0,0.0003,-0.0002
2.52,0,0.0003,-0.0002
2.53,0,0.0003,-0.0002
2.54,0,0.0003,-0.0002
2.55,0,0.0003,-0.0002
2.56,0,0.0003,-0.0002
2.57,0,0.0003,-0.0002
2.58,0,0.0003,-0.0002
2.59,0,0.0003,-0.0002
2.6,0,0.0004,-0.0002
2.61,0,0.0004,-0.0002
2.62,0,0.0004,-0.0002
2.63,0,0.0004,-0.0002
2.64,0,0.0004,-0.0002
2.65,0,0.0004,-0.0002
2.66,0,0.0004,-0.0002
2.67,0,0.0004,-0.0002
2.68,0,0.0005,-0.0002
2.69,0,0.0005,-0.0002
2.7,0,0.0005,-0.0002
2.71,0.0001,0.0006,-0.0002
2.72,0.0002,0.0006,-0.0002
2.73,0.0005,0.0006,-0.0002
2.74,0.001,0.0007,-0.0002
2.75,0.0019,0.0008,-0.0003
2.76,0.0039,0.0008,-0.0003
2.77,0.0077,0.0008,-0.0002
2.78,0.0232,0.0009,-0.0002
2.79,0.0386,0.0012,0.0002
2.8,0.0541,0.0015,0.0004
2.81,0.0772,0.0017,0.0006
2.82,0.085,0.0017,0.0009
2.83,0.0965,0.0018,0.0009
2.84,0.112,0.0021,0.0013
2.85,0.1274,0.0024,0.0015
2.86,0.166,0.0035,0.0017
2.87,0.1931,0.0046,0.0021
2.88,0.2317,0.0046,0.0023
2.89,0.3282,0.0046,0.0023
2.9,0.3784,0.0045,0.0023
2.91,0.4248,0.0046,0.0022
2.92,0.5522,0.0048,0.0022
2.93,1.0272,0.0053,0.0021
2.94,1.0233,0.0069,0.0021
2.95,1.5524,0.0106,0.0021
2.96,1.6026,0.0118,0.0029
2.97,1.6663,0.0129,0.0021
2.98,1.73,0.0156,0.0017
2.99,2.205,0.0171,0.0015
3,2.0119,0.0187,0.0022
3.01,1.2685,0.0215,0.0029
3.02,0.9586,0.0243,0.0027
3.03,0.9432,0.0219,0.0027
3.04,0.9691,0.0245,0.0025
3.05,0.995,0.0272,0.0023
3.06,1.0504,0.0274,0.0015
3.07,1.1817,0.0276,0.0014
3.08,1.2666,0.0281,0.0015
3.09,1.2048,0.0319,0.0015
3.1,1.2077,0.037,0.0021
