Depth,qc,fs_corrected,u
6.0,0.084,0.0016,0.0002
6.01,0.0917,0.0021,-0.0002
6.02,0.0104,0.002,0.0
6.03,0.0104,0.0019,0.0002
6.04,0.0104,0.0017,0.0002
6.05,0.0104,0.0017,0.0002
6.06,0.0259,0.0017,0.0002
6.07,0.0685,0.0017,0.0002
6.08,0.1111,0.002,0.0002
6.09,0.1652,0.0023,0.0002
6.09999999,0.262,0.003,0.0002
6.11,0.3355,0.0038,0.0002
6.12,0.5019,0.0041,0.0002
6.13,0.6799,0.0044,0.0002
6.14,0.8037,0.0046,0.0002
6.15,1.0475,0.0049,0.0002
6.16,1.1868,0.005,0.0002
6.17,1.4887,0.005,0.0002
6.18,1.6589,0.0051,0.0002
6.19,1.9569,0.0051,0.0002
6.2,2.3323,0.0051,0.0001
6.21,2.4599,0.0052,0.0001
6.22,2.7424,0.0052,0.0001
6.23,2.8663,0.0052,0.0001
6.2400001,3.0404,0.0054,0.0001
6.2500001,3.1217,0.0055,0.0002
6.2600001,3.3693,0.0055,0.0002
6.27,3.497,0.0055,0.0001
6.28,3.5938,0.0054,0.0
6.29,3.7408,0.0053,0.0
6.3,3.9769,0.0051,0.0
6.31,4.0775,0.0048,0.0
6.32,4.271,0.0048,0.0
6.33,4.3329,0.0048,0.0
6.34,4.3483,0.0048,0.0
6.35,4.4644,0.0048,0.0
6.36,4.4954,0.005,0.0
6.3699999,4.5302,0.005,0.0
6.3799999,4.6889,0.005,0.0
6.3899999,4.8282,0.005,0.0
6.3999999,4.8475,0.0049,0.0
6.4099999,4.9404,0.0049,0.0
6.4199999,5.0178,0.0048,0.0001
6.4299999,5.1397,0.0048,0.0002
6.4399999,5.2616,0.0048,0.0001
6.4499999,5.3893,0.0048,0.0002
6.4599999,5.4357,0.0043,0.0002
6.4699998,5.4783,0.0043,0.0001
6.4799998,5.5518,0.0043,0.0001
6.4899998,5.5363,0.0043,0.0001
6.4999998,5.517,0.0043,0.0001
6.5099998,5.5015,0.0043,0.0001
6.5199998,5.4396,0.0039,0.0002
6.5299998,5.3506,0.0039,0.0001
6.5399998,5.3351,0.0039,0.0002
6.5499998,5.1416,0.0038,0.0002
6.5599998,5.0333,0.0038,0.0002
6.5699998,4.8321,0.0035,0.0002
6.5799997,4.8204,0.0033,0.0002
6.5899997,4.7701,0.0032,0.0002
6.5999997,4.5573,0.0032,0.0002
6.6099997,4.4838,0.0031,0.0002
6.6199997,4.271,0.003,0.0002
6.6299997,4.2477,0.003,0.0002
6.6399997,4.0156,0.003,0.0002
6.6499997,3.9033,0.003,0.0002
6.6599997,3.853,0.003,0.0002
6.6699997,3.7989,0.003,0.0004
6.6799996,3.7176,0.0032,0.0004
6.6899996,3.6595,0.0032,0.0004
6.6999996,3.6402,0.0033,0.0004
6.7099996,3.6286,0.0034,0.0004
6.7199996,3.6244,0.0035,0.0005
6.7299996,3.6265,0.0036,0.0006
6.7399996,3.6286,0.0036,0.0005
6.7499996,3.6673,0.0036,0.0006
6.7599996,3.7834,0.0036,0.0006
6.7699996,3.9575,0.0037,0.0005
6.7799996,4.0156,0.0037,0.0005
6.7899995,4.0233,0.0037,0.0005
6.7999995,3.9536,0.0036,0.0006
6.8099995,3.8646,0.0036,0.0006
6.8199995,3.853,0.0035,0.0006
6.8299995,3.8414,0.0035,0.0006
6.8399995,3.7872,0.0034,0.0006
6.8499995,3.8027,0.0033,0.0006
6.8599995,3.7698,0.0032,0.0006
6.8699995,3.7689,0.0029,0.0006
6.8799995,3.7698,0.0029,0.0006
6.8899994,3.7708,0.0029,0.0006
6.8999994,3.7814,0.0029,0.0007
6.9099994,3.8298,0.0029,0.0008
