Depth,qc,fs_corrected,u
1.5,0.1837,0.002,-0.0007
1.51,0.1952,0.0039,-0.0001
1.52,0.2686,0.0038,0.0003
1.53,0.1334,0.0037,-0.0005
1.54,0.0639,0.0027,-0.0005
1.55,0.0292,0.0003,-0.0005
1.56,0.0137,0.0001,-0.0005
1.57,0.0079,0.0,-0.0003
1.58,0.0021,0.0,-0.0003
1.59,0.0021,0.0,-0.0003
1.59999999,0.0021,0.0,-0.0003
1.61,0.0021,0.0,-0.0003
1.62,0.0021,0.0,-0.0003
1.63,0.002,0.0,-0.0004
1.64,0.0021,0.0,-0.0004
1.65,0.0021,0.0,-0.0003
1.66,0.006,0.0,-0.0003
1.67,0.0043,0.0,-0.0003
1.68,0.0037,0.0,-0.0004
1.69,0.0048,0.0,-0.0004
1.7,0.006,0.0001,-0.0004
1.9299999,0.0485,0.0006,-0.0007
1.9399999,0.0514,0.001,-0.0007
1.9499999,0.0543,0.0012,-0.0007
1.9599999,0.0601,0.0013,-0.0007
2.1699997,0.3382,0.0013,-0.0007
2.1799996,0.3806,0.0012,-0.0003
2.1899996,0.3652,0.0009,-0.0004
2.1999996,0.4019,0.0008,-0.0004
2.2099996,0.4386,0.0007,-0.0003
2.2199996,0.4193,0.0008,-0.0005
2.2299996,0.4193,0.0009,-0.0005
2.2399996,0.4193,0.0014,-0.0004
2.2499996,0.4038,0.0038,-0.0004
2.2599996,0.3304,0.0038,0.0001
2.2699996,0.3304,0.0048,0.0001
2.2799996,0.2957,0.0053,-0.0002
2.2899995,0.2894,0.0055,-0.0005
2.2999995,0.2887,0.0055,-0.0005
2.3099995,0.2883,0.0055,-0.0006
2.3199995,0.2879,0.0049,-0.0007
2.3299995,0.2879,0.0049,-0.0007
2.3399995,0.2725,0.0033,-0.0007
2.3499995,0.2725,0.0029,-0.0006
2.3599995,0.2532,0.0019,-0.0005
2.3699995,0.2107,0.0009,-0.0003
2.3799995,0.2107,0.0,-0.0003
2.3899994,0.1566,0.0003,-0.0004
2.3999994,0.1489,0.0021,-0.0004
2.4099994,0.1373,0.0021,-0.0004
2.4199994,0.1286,0.0022,-0.0003
2.4299994,0.1286,0.0024,-0.0003
2.729999,0.3884,0.0023,-0.0006
2.739999,0.427,0.0036,-0.0005
2.749999,0.4444,0.0049,-0.0003
2.759999,0.4618,0.0082,-0.0004
2.769999,0.5506,0.0111,-0.0003
