Depth,Qc,Fs,u
2,0,0,-0.0001
2.01,0.4168,0,-0.0001
2.02,0.2399,0,-0.0003
2.03,0.2444,0,-0.0005
2.04,0.2489,0,-0.0006
2.05,0.2589,0.0001,-0.0006
2.06,0.2792,0.0001,-0.0006
2.07,0.3539,0.0003,-0.0007
2.08,0.3893,0.0005,-0.0007
2.09,0.4483,0.001,-0.0007
2.1,0.4797,0.001,-0.0007
2.11,0.5112,0.0011,-0.0007
2.12,0.5151,0.0013,-0.0007
2.13,0.5426,0.0014,-0.0007
2.14,0.5505,0.0015,-0.0007
2.15,0.5702,0.0016,-0.0007
2.16,0.5898,0.0016,-0.0007
2.17,0.6488,0.0016,-0.0007
2.18,0.6881,0.0017,-0.0007
2.19,0.7235,0.0017,-0.0007
2.2,0.7471,0.0017,-0.0007
2.21,0.755,0.0017,-0.0007
2.22,0.7353,0.0018,-0.0007
2.23,0.7117,0.0018,-0.0007
2.24,0.6999,0.0018,-0.0007
2.25,0.6685,0.0017,-0.0007
2.26,0.637,0.0017,-0.0007
2.27,0.6056,0.0017,-0.0007
2.28,0.578,0.0014,-0.0007
2.29,0.5466,0.0014,-0.0007
2.3,0.5112,0.0013,-0.0007
2.31,0.4797,0.0012,-0.0007
2.32,0.4483,0.0012,-0.0007
2.33,0.4207,0.0011,-0.0007
2.34,0.3972,0.0011,-0.0007
2.35,0.3618,0.001,-0.0007
2.36,0.346,0.001,-0.0007
2.37,0.3224,0.0009,-0.0007
2.38,0.2792,0.0008,-0.0007
2.39,0.2635,0.0008,-0.0007
2.4,0.2517,0.0006,-0.0007
2.41,0.2399,0.0005,-0.0007
2.42,0.2241,0.0004,-0.0007
2.43,0.2123,0.0004,-0.0007
2.44,0.2005,0.0004,-0.0007
2.45,0.1887,0.0004,-0.0007
2.46,0.1809,0.0004,-0.0007
2.47,0.173,0.0004,-0.0007
2.48,0.1593,0.0004,-0.0009
2.49,0.1455,0.0004,-0.001
2.5,0.1455,0.0004,-0.001
2.51,0.1416,0.0003,-0.0011
2.52,0.1376,0.0003,-0.0011
2.53,0.1357,0.0003,-0.0011
2.54,0.1337,0.0003,-0.0011
2.55,0.1337,0.0003,-0.0011
2.56,0.114,0.0003,-0.0011
2.57,0.1101,0.0002,-0.0011
2.58,0.1062,0.0002,-0.0011
2.59,0.0983,0.0002,-0.0011
2.6,0.0904,0.0002,-0.0011
2.61,0.0865,0.0002,-0.0011
2.62,0.0826,0.0002,-0.0011
2.63,0.0826,0.0001,-0.0011
2.64,0.0786,0.0001,-0.0011
2.65,0.0767,0,-0.0011
2.66,0.0747,0,-0.0011
2.67,0.0747,0,-0.0011
2.68,0.0708,0,-0.0011
2.69,0.0688,0,-0.0012
2.7,0.0668,0,-0.0012
2.71,0.0668,0,-0.0012
2.72,0.0649,0,-0.0013
2.73,0.0639,0,-0.0013
2.74,0.0629,0,-0.0013
2.75,0.0629,0,-0.0013
2.76,0.059,0,-0.0013
2.77,0.059,0,-0.0013
2.78,0.0551,0,-0.0013
2.79,0.0511,0,-0.0013
2.8,0.0472,0,-0.0013
2.81,0.0472,0,-0.0013
2.82,0.0433,-0.0001,-0.0013
2.83,0.0433,-0.0001,-0.0013
2.84,0.0393,-0.0001,-0.0013
2.85,0.0393,-0.0001,-0.0013
2.86,0.0374,-0.0001,-0.0013
2.87,0.0364,-0.0001,-0.0013
2.88,0.0362,-0.0001,-0.0013
2.89,0.036,-0.0001,-0.0013
