file,median_dz,total_N,initial_best_shift_m,initial_best_corr,final_fs_applied_shift_m,post_corr_residual_shift_m,post_corr_final_corr,figure_path_post_ccf,figure_path_comparison,corrected_data_path,correction_type,figure_path_initial_ccf,Note
SCPT_114319_AGS01.csv,0.01,2053,-0.1,-0.033,0.0,-0.09999999999999787,-0.03304334695886645,N/A,N/A,ex_CPT_predrill_corrected\SCPT_114319_AGS01.csv,Negative_or_Zero_INCOMPLETE,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Initial\figures_negative\SCPT_114319_AGS01_initial_corr.png,No correction attempted due to negative or zero initial shift.
SCPT_114322_Raw01.csv,0.01,2053,0.15,0.176,-0.15,0.0,0.178,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\figures_success\SCPT_114322_Raw01_post_corr.png,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\figures_success\SCPT_114322_Raw01_comparison_plot.png,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\CORRECTED_DATA_SUCCESS\SCPT_114322_Raw01_fs_corrected.csv,Positive_shift_SUCCESS,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Initial\figures_positive\SCPT_114322_Raw01_initial_corr.png,Positive initial shift. Correction applied. Post-corr shift is negligible.
SCPT_124801_Raw01.csv,0.01,1993,0.03,0.06,-0.03,0.0,0.06,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\figures_success\SCPT_124801_Raw01_post_corr.png,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\figures_success\SCPT_124801_Raw01_comparison_plot.png,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\CORRECTED_DATA_SUCCESS\SCPT_124801_Raw01_fs_corrected.csv,Positive_shift_SUCCESS,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Initial\figures_positive\SCPT_124801_Raw01_initial_corr.png,Positive initial shift. Correction applied. Post-corr shift is negligible.
SCPT_124802_Raw01.csv,0.01,1750,0.15,0.1,-0.15,0.09,0.114,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\figures_incomplete\SCPT_124802_Raw01_post_corr.png,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\figures_incomplete\SCPT_124802_Raw01_comparison_plot.png,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\CORRECTED_DATA_INCOMPLETE\SCPT_124802_Raw01_fs_corrected.csv,Positive_shift_INCOMPLETE,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Initial\figures_positive\SCPT_124802_Raw01_initial_corr.png,Positive initial shift. Correction applied but post-corr shift is still significant.
SCPT_125043_Raw01.csv,0.01,1679,0.0,0.923,0.0,0.0,0.9226175651575029,N/A,N/A,ex_CPT_predrill_corrected\SCPT_125043_Raw01.csv,Negative_or_Zero_INCOMPLETE,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Initial\figures_zero\SCPT_125043_Raw01_initial_corr.png,No correction attempted due to negative or zero initial shift.
SCPT_126232_Raw01.csv,0.01,2488,0.02,0.762,-0.02,0.0,0.762,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\figures_success\SCPT_126232_Raw01_post_corr.png,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\figures_success\SCPT_126232_Raw01_comparison_plot.png,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\CORRECTED_DATA_SUCCESS\SCPT_126232_Raw01_fs_corrected.csv,Positive_shift_SUCCESS,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Initial\figures_positive\SCPT_126232_Raw01_initial_corr.png,Positive initial shift. Correction applied. Post-corr shift is negligible.
SCPT_128450_Raw01.csv,0.01,2312,0.05,0.205,-0.05,0.0,0.205,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\figures_success\SCPT_128450_Raw01_post_corr.png,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\figures_success\SCPT_128450_Raw01_comparison_plot.png,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\CORRECTED_DATA_SUCCESS\SCPT_128450_Raw01_fs_corrected.csv,Positive_shift_SUCCESS,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Initial\figures_positive\SCPT_128450_Raw01_initial_corr.png,Positive initial shift. Correction applied. Post-corr shift is negligible.
SCPT_136515_Raw01.csv,0.01,1943,0.06,0.879,-0.06,0.0,0.881,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\figures_success\SCPT_136515_Raw01_post_corr.png,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\figures_success\SCPT_136515_Raw01_comparison_plot.png,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Post_processing\CORRECTED_DATA_SUCCESS\SCPT_136515_Raw01_fs_corrected.csv,Positive_shift_SUCCESS,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Initial\figures_positive\SCPT_136515_Raw01_initial_corr.png,Positive initial shift. Correction applied. Post-corr shift is negligible.
SCPT_140250_Raw01.csv,0.01,1855,0.0,0.936,0.0,0.0,0.9356650070357125,N/A,N/A,ex_CPT_predrill_corrected\SCPT_140250_Raw01.csv,Negative_or_Zero_INCOMPLETE,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Initial\figures_zero\SCPT_140250_Raw01_initial_corr.png,No correction attempted due to negative or zero initial shift.
SCPT_140251_Raw01.csv,0.01,2070,0.0,0.805,0.0,0.0,0.8049519565712235,N/A,N/A,ex_CPT_predrill_corrected\SCPT_140251_Raw01.csv,Negative_or_Zero_INCOMPLETE,C:\Users\jki140\OneDrive - University of Canterbury\Backup\CPT_Processing\ex_CPT_predrill_corrected_CORRECTED_DATA_20250926_160846\Initial\figures_zero\SCPT_140251_Raw01_initial_corr.png,No correction attempted due to negative or zero initial shift.
