Depth,Qc,Fs,u
1.5,0.0041,0,0.0102
1.51,0.0122,0,-0.0043
1.52,0.0122,0,-0.0006
1.53,0.0105,0.0002,-0.0004
1.54,0.0099,0.0004,-0.0002
1.55,0.0113,0.0009,-0.0002
1.56,0.0127,0.0012,-0.0001
1.57,0.0203,0.0016,0
1.58,0.1705,0.0016,0.0002
1.59,0.2923,0.0017,0.0002
1.59999999,0.4912,0.0018,0.0006
1.61,0.7145,0.0031,0.0002
1.62,0.8688,0.0045,0
1.63,0.9337,0.0062,-0.0004
1.64,0.9702,0.0081,-0.0005
1.65,1.023,0.0129,-0.0006
1.66,1.1164,0.0178,-0.0006
1.67,1.1976,0.0232,-0.0007
1.68,1.2747,0.0278,-0.0006
1.69,1.36,0.0367,-0.0006
1.7,1.4858,0.0456,-0.0006
1.71,1.7091,0.0529,-0.0004
1.72,1.9811,0.0628,-0.0004
1.73,2.2531,0.0697,0.0008
1.7400001,2.5129,0.0774,0
1.7500001,2.5291,0.0823,0.0012
1.7600001,2.5291,0.0874,0.001
1.77,2.3952,0.0875,0.002
1.78,2.1841,0.0876,0.0031
1.79,2.0054,0.0875,0.0045
1.8,1.8593,0.0875,0.0094
1.81,1.7903,0.072,-0.0008
1.82,1.6685,0.0695,-0.0013
1.83,1.5426,0.0646,-0.0014
1.84,1.433,0.0605,-0.0014
1.85,1.3275,0.0498,-0.0012
1.86,1.2016,0.0436,-0.001
1.8699999,1.088,0.0364,-0.0002
1.8799999,0.9175,0.0312,0.0006
1.8899999,0.8566,0.027,-0.0004
1.8999999,0.7632,0.0226,-0.0006
1.9099999,0.7632,0.0188,-0.0007
1.9199999,0.6739,0.0112,-0.0007
1.9299999,0.6455,0.0085,-0.0007
1.9399999,0.6374,0.0066,-0.0007
1.9499999,0.5724,0.005,-0.0006
1.9599999,0.548,0.0046,-0.0006
1.9699998,0.5359,0.004,-0.0006
1.9799998,0.5115,0.0035,-0.0006
1.9899998,0.4587,0.0031,-0.0006
1.9999998,0.4506,0.0029,-0.0006
2.0099998,0.4263,0.0029,-0.0006
2.0199998,0.4019,0.0028,-0.0006
2.0299998,0.3654,0.0028,-0.0006
2.0399998,0.3532,0.0025,-0.0006
2.0499998,0.341,0.0025,-0.0006
2.0599998,0.3207,0.0023,-0.0006
2.0699998,0.3166,0.0019,-0.0006
2.0799997,0.2964,0.0019,-0.0006
2.0899997,0.2842,0.0014,-0.0006
2.0999997,0.2842,0.001,-0.0006
2.1099997,0.2639,0.001,-0.0006
2.1199997,0.2436,0.0009,-0.0006
2.1299997,0.2395,0.0009,-0.0006
2.1399997,0.2395,0.0008,-0.0006
