Depth,qc,fs_corrected,u
0.01,2.719,0.105,0.001
0.02,15.285,0.125,0.001
0.03,34.092,0.142,0.002
0.04,46.793,0.169,0.003
0.05,54.727,0.198,0.003
0.06,62.662,0.197,0.003
0.07,59.3,0.188,0.0045
0.08,55.937,0.196,0.006
0.09,61.244,0.183,0.001
0.1,56.218,0.199,0.007
0.11,55.487,0.223,0.006
0.12,53.9,0.226,0.003
0.13,52.567,0.225,0.003
0.14,52.219,0.216,0.001
0.15,47.944,0.202,0.0015
0.16,43.669,0.19,0.002
0.17,41.487,0.183,0.001
0.18,37.326,0.156,0.003
0.19,33.769,0.147,0.0
0.2,31.01,0.136,0.0
0.21,28.25,0.133,-0.001
0.22,25.109,0.134,0.0
0.23,21.398,0.146,-0.001
0.24,19.454,0.151,-0.001
0.25,17.196,0.148,-0.001
0.26,15.718,0.14,-0.003
0.27,14.088,0.112,-0.002
0.28,11.719,0.107,-0.001
0.29,10.344,0.1,0.0
0.3,7.933,0.099,-0.001
0.31,6.676,0.099,0.002
0.32,6.022,0.095,0.001
0.33,5.25,0.092,0.002
0.34,4.706,0.09,0.001
0.35,4.562,0.089,0.003
0.36,4.273,0.085,0.002
0.37,4.129,0.083,0.002
0.38,3.781,0.075,0.008
0.39,3.492,0.064,0.008
0.4,2.94,0.056,0.015
0.41,2.456,0.05,0.018
0.42,2.202,0.046,0.024
0.43,1.964,0.045,0.025
0.44,1.777,0.037,0.022
0.45,1.616,0.034,0.017
0.46,1.514,0.032,0.013
0.47,1.446,0.03,0.01
0.48,1.395,0.028,0.009
0.49,1.336,0.027,0.01
0.5,1.251,0.025,0.009
0.51,1.183,0.023,0.009
0.52,1.14,0.022,0.01
0.53,1.081,0.02,0.01
0.54,1.021,0.018,0.01
0.55,0.987,0.019,0.01
0.56,0.945,0.018,0.011
0.57,0.936,0.017,0.012
0.58,0.92,0.015,0.012
0.59,0.92,0.015,0.013
0.6,0.92,0.015,0.013
0.61,0.911,0.014,0.013
0.62,0.979,0.014,0.018
0.63,0.987,0.014,0.018
0.64,0.936,0.013,0.018
0.65,0.894,0.012,0.018
0.66,0.809,0.012,0.016
0.67,0.75,0.012,0.016
0.68,0.724,0.013,0.018
0.69,0.716,0.013,0.018
0.7,0.699,0.013,0.018
0.71,0.69,0.014,0.018
0.72,0.69,0.014,0.019
0.73,0.682,0.015,0.019
0.74,0.682,0.015,0.019
0.75,0.673,0.017,0.019
0.76,0.665,0.017,0.02
0.77,0.665,0.019,0.02
0.78,0.673,0.019,0.02
0.79,0.682,0.019,0.021
0.8,0.682,0.02,0.021
0.81,0.682,0.021,0.021
0.82,0.682,0.022,0.021
0.83,0.682,0.022,0.021
0.84,0.682,0.023,0.021
0.85,0.682,0.023,0.021
0.86,0.673,0.023,0.022
0.87,0.673,0.023,0.022
0.88,0.673,0.023,0.022
0.89,0.673,0.024,0.022
0.9,0.673,0.024,0.022
0.91,0.673,0.024,0.022
0.92,0.665,0.023,0.022
0.93,0.656,0.023,0.022
0.94,0.656,0.023,0.023
0.95,0.639,0.023,0.023
0.96,0.639,0.023,0.023
0.97,0.631,0.022,0.023
0.98,0.622,0.022,0.023
0.99,0.605,0.022,0.023
1.0,0.597,0.02,0.023
1.01,0.588,0.02,0.023
1.02,0.571,0.02,0.023
1.03,0.563,0.019,0.023
1.04,0.546,0.018,0.023
1.05,0.537,0.018,0.023
1.06,0.529,0.017,0.023
1.07,0.512,0.017,0.023
1.08,0.503,0.016,0.023
1.09,0.495,0.016,0.023
1.1,0.487,0.016,0.023
1.11,0.478,0.014,0.023
1.12,0.478,0.014,0.023
1.13,0.47,0.014,0.023
1.14,0.453,0.013,0.023
1.15,0.444,0.013,0.023
1.16,0.427,0.013,0.023
1.17,0.419,0.013,0.023
1.18,0.419,0.013,0.023
1.19,0.41,0.013,0.023
1.2,0.41,0.013,0.023
1.21,0.41,0.012,0.023
1.22,0.41,0.013,0.023
1.23,0.41,0.012,0.023
1.24,0.41,0.012,0.023
1.25,0.41,0.013,0.023
1.26,0.41,0.013,0.023
1.27,0.41,0.013,0.023
1.28,0.41,0.014,0.023
1.29,0.41,0.014,0.023
1.3,0.419,0.014,0.023
1.31,0.419,0.015,0.023
1.32,0.427,0.016,0.023
1.33,0.444,0.018,0.024
1.34,0.453,0.018,0.024
1.35,0.478,0.019,0.024
1.36,0.495,0.021,0.024
1.37,0.503,0.023,0.024
1.38,0.529,0.024,0.024
1.39,0.554,0.025,0.025
1.4,0.58,0.028,0.025
1.41,0.605,0.03,0.025
1.42,0.631,0.031,0.026
1.43,0.656,0.032,0.026
1.44,0.69,0.033,0.026
1.45,0.733,0.035,0.026
1.46,0.758,0.036,0.026
1.47,0.792,0.039,0.026
1.48,0.801,0.042,0.027
1.49,0.818,0.043,0.027
1.5,0.826,0.043,0.027
1.51,0.835,0.044,0.028
1.52,0.852,0.044,0.028
1.53,0.869,0.044,0.028
1.54,0.886,0.043,0.028
1.55,0.894,0.042,0.028
1.56,0.911,0.041,0.028
1.57,0.928,0.04,0.028
1.58,0.928,0.039,0.028
1.59,0.936,0.038,0.029
1.6,0.928,0.038,0.029
1.61,0.928,0.037,0.029
1.62,0.911,0.036,0.03
1.63,0.894,0.036,0.03
1.64,0.886,0.035,0.03
1.65,0.886,0.034,0.032
1.66,0.886,0.033,0.034
1.67,0.877,0.033,0.034
1.68,0.869,0.031,0.034
1.69,0.852,0.03,0.034
1.7,0.843,0.03,0.035
1.71,0.835,0.03,0.035
1.72,0.826,0.03,0.036
1.73,0.835,0.03,0.036
1.74,0.835,0.03,0.036
1.75,0.835,0.029,0.036
1.76,0.835,0.029,0.037
1.77,0.835,0.028,0.037
1.78,0.835,0.028,0.037
1.79,0.835,0.028,0.037
1.8,0.835,0.028,0.038
1.81,0.826,0.027,0.038
1.82,0.826,0.027,0.038
1.83,0.826,0.027,0.038
1.84,0.826,0.027,0.038
1.85,0.826,0.027,0.038
1.86,0.835,0.027,0.038
1.87,0.843,0.027,0.038
1.88,0.852,0.027,0.038
1.89,0.852,0.027,0.039
1.9,0.852,0.027,0.039
1.91,0.852,0.027,0.039
1.92,0.835,0.027,0.039
1.93,0.835,0.027,0.04
1.94,0.835,0.027,0.04
1.95,0.835,0.027,0.04
1.96,0.843,0.027,0.04
1.97,0.843,0.026,0.041
1.98,0.835,0.025,0.041
1.99,0.835,0.025,0.041
2.0,0.835,0.025,0.041
2.01,0.835,0.025,0.042
2.02,0.835,0.025,0.042
2.03,0.835,0.025,0.043
2.04,0.835,0.025,0.043
2.05,0.835,0.024,0.043
2.06,0.835,0.024,0.043
2.07,0.835,0.025,0.043
2.08,0.835,0.024,0.044
2.09,0.835,0.023,0.044
2.1,0.843,0.023,0.044
2.11,0.843,0.022,0.045
2.12,0.852,0.022,0.045
2.13,0.843,0.023,0.046
2.14,0.835,0.022,0.046
