Depth,qc,fs_corrected,u
1.5,0.1537,0.0019,-0.0015
1.51,0.1499,0.0037,-0.0013
1.52,0.2928,0.0075,-0.0013
1.53,0.3546,0.0112,-0.0012
1.54,0.428,0.0114,-0.0011
1.55,0.343,0.0115,0.0002
1.56,0.0649,0.0102,-0.0006
1.57,0.0555,0.009,-0.0009
1.58,0.051,0.009,-0.001
1.59,0.0502,0.0047,-0.001
1.59999999,0.0504,0.0025,-0.0011
1.61,0.0506,0.0014,-0.0011
1.62,0.0514,0.0009,-0.0012
1.63,0.0533,0.0006,-0.0012
1.64,0.0533,0.0005,-0.0012
1.65,0.0572,0.0005,-0.0011
1.66,0.061,0.0005,-0.0011
1.67,0.061,0.0005,-0.0011
1.68,0.0572,0.0004,-0.0009
1.69,0.0572,0.0004,-0.0009
1.7,0.0552,0.0004,-0.001
1.71,0.0574,0.0004,-0.001
1.72,0.0596,0.0004,-0.0011
1.73,0.0649,0.0004,-0.0009
1.7400001,0.0631,0.0004,-0.0013
1.7500001,0.064,0.0003,-0.0014
1.7600001,0.0649,0.0003,-0.0014
1.77,0.0726,0.0003,-0.0014
1.78,0.0688,0.0003,-0.0014
1.79,0.0726,0.0003,-0.0013
1.8,0.0842,0.0003,-0.0013
1.81,0.0842,0.0003,-0.0013
1.82,0.0857,0.0003,-0.0012
1.83,0.0871,0.0003,-0.0012
1.84,0.0919,0.0003,-0.0012
1.85,0.0881,0.0003,-0.0011
1.86,0.0888,0.0003,-0.0013
1.8699999,0.0895,0.0003,-0.0013
1.8799999,0.0919,0.0003,-0.0013
1.8899999,0.0919,0.0003,-0.0013
1.8999999,0.119,0.0002,-0.0013
1.9099999,0.119,0.0002,-0.0013
1.9199999,0.1201,0.0002,-0.0013
1.9299999,0.1211,0.0002,-0.0014
1.9399999,0.1252,0.0002,-0.0014
1.9499999,0.1344,0.0002,-0.0014
1.9599999,0.1537,0.0002,-0.0014
1.9699998,0.1653,0.0002,-0.0014
1.9799998,0.1769,0.0002,-0.0014
1.9899998,0.2001,0.0002,-0.0013
1.9999998,0.2078,0.0002,-0.0011
2.0099998,0.2117,0.0002,-0.0013
2.0199998,0.2039,0.0002,-0.0013
2.0299998,0.1981,0.0002,-0.0013
2.0399998,0.1954,0.0002,-0.0012
2.0499998,0.1941,0.0002,-0.0011
2.0599998,0.1995,0.0002,-0.0013
2.0699998,0.2049,0.0002,-0.0013
2.0799997,0.231,0.0002,-0.0013
2.0899997,0.2155,0.0002,-0.0013
2.0999997,0.2078,0.0002,-0.0011
2.1099997,0.207,0.0002,-0.0011
2.1199997,0.2067,0.0002,-0.0011
2.1299997,0.2072,0.0002,-0.0011
2.1399997,0.2078,0.0002,-0.0011
2.1499997,0.2078,0.0002,-0.0011
2.1599997,0.2078,0.0002,-0.0011
2.1699997,0.2078,0.0002,-0.0011
2.1799996,0.2078,0.0002,-0.0011
2.1899996,0.2083,0.0002,-0.0011
2.1999996,0.2088,0.0002,-0.0011
2.2099996,0.2097,0.0002,-0.0011
2.2199996,0.2117,0.0002,-0.0011
2.2299996,0.2155,0.0002,-0.001
2.2399996,0.2194,0.0002,-0.0009
