Depth,Qc,Fs,u
0.01,0.037,0.0061,0.0017
0.02,0.542,0.0176,0.0042
0.03,1.57,0.0178,0.0008
0.04,2.144,0.0179,0
0.05,2.092,0.018,0.0008
0.06,2.298,0.0231,0
0.07,2.469,0.0248,0
0.08,2.632,0.0277,0
0.09,2.58,0.0306,0
0.1,2.144,0.034,0.0008
0.11,1.861,0.0345,0.0008
0.12,1.621,0.0378,0.0017
0.13,1.484,0.0402,0.0017
0.14,1.399,0.0408,0.0042
0.15,1.287,0.0436,0.0067
0.16,1.279,0.0453,0.0025
0.17,1.219,0.047,0
0.18,1.142,0.0442,0.0008
0.19,1.142,0.0443,0
0.2,1.159,0.0443,0.0008
0.21,1.227,0.0437,-0.0209
0.22,1.116,0.0443,-0.0025
0.23,1.082,0.0409,-0.0017
0.24,1.022,0.0409,0
0.25,1.03,0.0397,-0.0025
0.26,1.09,0.0403,-0.0042
0.27,0.97,0.0397,0
0.28,0.962,0.038,-0.0017
0.29,0.953,0.038,-0.0017
0.3,0.936,0.038,-0.0025
0.31,0.919,0.0386,-0.0025
0.32,0.962,0.0392,-0.0008
0.33,0.953,0.0409,-0.0025
0.34,0.97,0.0414,0
0.35,0.996,0.0415,-0.0008
0.36,1.013,0.042,-0.0008
0.37,0.979,0.042,-0.0017
0.38,0.97,0.042,-0.0008
0.39,1.005,0.0437,0
0.4,0.962,0.0431,-0.0017
0.41,0.953,0.0426,-0.0025
0.42,0.927,0.0437,-0.0033
0.43,0.945,0.0437,-0.0075
0.44,0.919,0.0426,-0.0092
0.45,0.936,0.0414,-0.0184
0.46,0.919,0.0409,-0.0175
0.47,0.927,0.0391,-0.0175
0.48,0.953,0.0402,-0.02
0.49,0.953,0.0373,-0.02
0.5,0.936,0.0349,-0.0225
0.51,0.919,0.0324,-0.02
0.52,0.919,0.0306,-0.0192
0.53,0.919,0.0288,-0.0175
0.54,0.979,0.0297,-0.0159
0.55,0.953,0.0291,-0.0134
0.56,1.039,0.0277,-0.0092
0.57,1.065,0.0267,-0.0017
0.58,1.236,0.0265,0.0058
0.59,1.399,0.025,0.0117
0.6,1.681,0.0285,0.0134
0.61,1.827,0.0334,0.0125
0.62,2.015,0.0342,0.0109
0.63,2.238,0.039,0.0125
0.64,2.341,0.0393,0.0134
0.65,2.64,0.0454,0.0184
0.66,3.317,0.0576,0.0192
0.67,3.488,0.0737,0.0192
0.68,3.951,0.0758,0.0175
0.69,4.61,0.0784,0.0209
0.7,5.612,0.0926,0.025
0.71,6.049,0.1068,0.0292
0.72,7.103,0.1008,0.0284
0.73,7.437,0.1182,0.0259
0.74,8.319,0.14,0.0267
0.75,9.312,0.1329,0.0301
0.76,9.766,0.1257,0.0301
0.77,9.963,0.1536,0.0309
0.78,9.526,0.1631,0.0301
0.79,9.017,0.1924,0.0288
0.8,8.507,0.2182,0.0275
0.81,8.242,0.2325,0.0267
0.82,7.634,0.2433,0.0259
0.83,7.171,0.2524,0.0259
0.84,7.287,0.2563,0.0272
0.85,7.402,0.2578,0.0284
0.86,7.145,0.2578,0.0284
0.87,7.214,0.2633,0.0292
0.88,7.3,0.2666,0.0301
0.89,7.471,0.2692,0.0317
0.9,7.282,0.2636,0.0326
0.91,7.197,0.2619,0.0334
0.92,7.12,0.2682,0.0351
0.93,7.188,0.2713,0.0351
0.94,7.342,0.2747,0.0359
0.95,7.402,0.2714,0.0367
0.96,7.634,0.2767,0.0376
0.97,7.685,0.2786,0.0384
0.98,7.942,0.2778,0.0384
0.99,7.865,0.281,0.0392
1,7.908,0.285,0.0392
1.01,7.814,0.2886,0.0392
1.02,7.497,0.2831,0.0384
1.03,7.437,0.2804,0.0376
1.04,6.614,0.2502,0.0359
1.05,6.221,0.2201,0.0351
1.06,6.066,0.2254,0.0351
1.07,5.612,0.2266,0.0342
1.08,5.15,0.2268,0.0334
1.09,5.081,0.2196,0.0334
1.1,4.713,0.2129,0.0342
1.11,4.593,0.1955,0.0342
1.12,4.37,0.1842,0.0334
1.13,4.709,0.1774,0.0321
1.14,5.047,0.1695,0.0309
1.15,4.722,0.1661,0.0292
1.16,4.602,0.1543,0.0284
1.17,4.362,0.1477,0.0275
1.18,4.173,0.1433,0.0284
1.19,4.071,0.1406,0.0284
1.2,4.019,0.1367,0.0292
1.21,3.959,0.1321,0.0309
1.22,3.968,0.127,0.0317
1.23,4.028,0.1162,0.0326
1.24,3.959,0.1115,0.0334
1.25,3.891,0.1108,0.0334
1.26,3.677,0.1072,0.0342
1.27,3.608,0.1059,0.0342
1.28,3.454,0.1063,0.0342
1.29,3.377,0.1111,0.0351
1.3,3.488,0.1127,0.0359
1.31,3.514,0.1179,0.0367
1.32,3.548,0.123,0.0367
1.33,3.78,0.1321,0.0376
1.34,3.951,0.1361,0.0376
1.35,4.251,0.1349,0.0376
1.36,4.542,0.1418,0.0384
1.37,4.73,0.1464,0.0367
1.38,5.116,0.1479,0.0367
1.39,5.15,0.1482,0.0359
1.4,5.021,0.1523,0.0351
1.41,5.021,0.1652,0.0334
1.42,4.936,0.1768,0.0342
1.43,4.893,0.1811,0.0342
1.44,4.927,0.1869,0.0334
1.45,4.85,0.185,0.0334
1.46,4.687,0.1783,0.0342
1.47,4.225,0.1705,0.0326
1.48,3.797,0.1739,0.0309
1.49,3.617,0.1809,0.0292
1.5,3.72,0.1836,0.0284
1.51,4.096,0.1824,0.0275
1.52,4.328,0.1755,0.0292
