Depth,Qc,Fs,u
0,0.02,0.008,0.0513
0.01,0.27,0.0096,0.0063
0.02,0.54,0.0099,0.0047
0.03,0.97,0.0103,0.005
0.04,1.73,0.0114,-0.0006
0.05,2.45,0.0114,0.0001
0.06,2.81,0.0128,0.0006
0.07,3.56,0.0164,0.0004
0.08,3.84,0.0166,0.0007
0.09,4.11,0.0158,0.0003
0.1,4.34,0.0141,0.0009
0.11,4.66,0.0123,0.0004
0.12,4.83,0.0107,0.0005
0.13,5.19,0.0105,0.0012
0.14,5.88,0.0111,-0.0011
0.15,6.1,0.0105,0.0011
0.16,5.81,0.0111,-0.002
0.17,5.7,0.0114,0.0014
0.18,5.68,0.0117,0.0006
0.19,5.88,0.0124,-0.0006
0.2,5.99,0.0125,0.0002
0.21,6.23,0.013,0.0008
0.22,6.41,0.013,-0.0002
0.23,6.83,0.0187,0.0012
0.24,7.24,0.0159,0.0011
0.25,7.94,0.0161,0.0012
0.26,8.78,0.0171,0.0017
0.27,9.25,0.0205,0.0005
0.28,10.16,0.0239,0.0021
0.29,10.53,0.0282,0.0012
0.3,11.04,0.0286,-0.0001
0.31,11.39,0.0306,0.0045
0.32,11.72,0.0361,0.0019
0.33,11.81,0.0365,0.0038
0.34,11.95,0.041,0.0024
0.35,11.91,0.0406,0.0054
0.36,11.93,0.0429,0.0026
0.37,11.93,0.0429,0.003
0.38,11.87,0.0426,0.0055
0.39,11.76,0.0453,0.0034
0.4,11.7,0.0465,0.0029
0.41,11.66,0.0515,-0.0005
0.42,11.57,0.049,-0.0001
0.43,11.41,0.0523,0.0023
0.44,11.37,0.0528,0.0011
0.45,11.3,0.0525,-0.0004
0.46,11.11,0.0514,0.0026
0.47,10.98,0.0514,-0.0022
0.48,10.89,0.0508,0.0114
0.49,10.72,0.0497,0.0006
0.5,10.58,0.05,0.0015
0.51,10.6,0.0517,0.0008
0.52,10.59,0.0517,0.0016
0.53,10.61,0.0541,0.0043
0.54,10.72,0.0542,0.0041
0.55,10.75,0.0552,0.0023
0.56,10.74,0.0552,0.0035
0.57,10.77,0.0567,0.002
0.58,10.74,0.0583,0.001
0.59,10.75,0.0612,0.0018
0.6,10.68,0.0649,0.001
0.61,10.56,0.0636,0.0008
0.62,10.26,0.0645,0.0029
0.63,10.26,0.0671,0.0029
0.64,9.96,0.0649,0.0042
0.65,10.02,0.0646,-0.0007
0.66,9.77,0.0628,0.0079
0.67,9.69,0.0628,-0.0003
0.68,9.61,0.0628,-0.0017
0.69,9.52,0.0458,0.0012
0.7,9.45,0.0498,0.001
0.71,9.37,0.0512,-0.0003
0.72,9.36,0.0524,-0.0011
0.73,9.27,0.0505,0.0005
0.74,9.27,0.0511,0.0005
0.75,9.27,0.0513,0.0005
0.76,8.91,0.0495,0.0009
0.77,8.94,0.0495,0.0008
0.78,8.86,0.0501,0.0017
0.79,8.86,0.05,0.0005
0.8,8.86,0.0499,-0.0002
0.81,8.88,0.0492,0.0003
0.82,8.94,0.0501,0.0004
0.83,9.05,0.0503,0.0001
0.84,9.08,0.0502,0.0011
0.85,9.22,0.0493,0.0017
0.86,9.41,0.0493,0
0.87,9.48,0.0503,0.0013
0.88,9.65,0.0505,0.0007
0.89,9.68,0.0507,0.0008
0.9,9.73,0.0517,0.0016
0.91,9.72,0.0519,0.0009
0.92,9.64,0.0518,0.0008
0.93,9.64,0.0513,0.0008
0.94,9.47,0.0512,0.002
0.95,9.38,0.0524,0.0015
0.96,9.31,0.0515,0.0012
0.97,9.16,0.051,0.0008
0.98,9.01,0.0498,0.0005
0.99,8.93,0.0499,0.0004
1,8.76,0.0487,-0.0004
1.01,8.67,0.0501,-0.0003
1.02,8.45,0.049,0.0011
1.03,8.37,0.0479,0.0001
1.04,8.22,0.0463,-0.0002
1.05,8.12,0.0468,-0.0005
1.06,8.01,0.0466,-0.0001
1.07,7.94,0.0476,-0.0016
1.08,7.78,0.0472,-0.001
1.09,7.73,0.0445,0.0026
1.1,7.71,0.0441,-0.0012
1.11,7.53,0.0458,-0.0037
1.12,7.44,0.0462,0.0036
1.13,7.39,0.0466,0.0024
1.14,7.27,0.0471,0.0007
1.15,7.24,0.0457,0.0026
1.16,7.14,0.0475,0.0007
1.17,7.09,0.0482,0.0009
1.18,7,0.0484,-0.0001
1.19,6.88,0.0471,0.0025
1.2,6.85,0.0464,0.0028
1.21,6.8,0.0448,0.0013
1.22,6.72,0.0451,-0.0009
1.23,6.66,0.0449,0.0001
1.24,6.58,0.0445,0.0009
1.25,6.53,0.0426,-0.0003
1.26,6.49,0.0419,0
1.27,6.44,0.0417,-0.0007
1.28,6.34,0.0408,0.0004
1.29,6.31,0.0404,0.0004
1.3,6.3,0.0383,-0.0002
1.31,6.23,0.0379,-0.0023
1.32,6.17,0.0369,-0.0002
1.33,6.1,0.0369,0.0004
1.34,6.11,0.0361,0.0008
1.35,6.09,0.0368,0.0015
1.36,6.1,0.0362,0.0008
1.37,6.08,0.0373,0.0007
1.38,6.07,0.037,0.0008
1.39,6.06,0.0367,0.0008
1.4,6.06,0.0364,0.0008
1.41,6.06,0.0362,0.0001
1.42,6.02,0.0364,0.0011
1.43,6.03,0.036,0.0002
1.44,5.99,0.0353,0.0008
1.45,5.99,0.0352,0.0008
1.46,6.01,0.0349,-0.0006
1.47,6,0.0345,-0.0006
1.48,6,0.0354,0.0005
1.49,5.99,0.0375,-0.0004
1.5,6.01,0.0369,0.0006
1.51,6.06,0.0363,-0.0001
1.52,6.07,0.0361,0.0005
1.53,6.13,0.037,0.0011
1.54,6.18,0.0356,0.0005
1.55,6.1,0.0372,-0.0006
1.56,6.14,0.0363,0.0006
1.57,6.19,0.0386,0.0011
1.58,6.2,0.0386,0.0019
1.59,6.26,0.0391,-0.0013
1.6,6.32,0.04,0.0039
1.61,6.34,0.0402,-0.0005
1.62,6.34,0.0403,-0.0003
1.63,6.36,0.04,-0.0016
1.64,6.31,0.0403,0.0019
1.65,6.27,0.0402,0.0024
1.66,6.17,0.04,0.0018
1.67,6.18,0.0397,-0.0023
1.68,6.17,0.0397,0.0012
1.69,6.1,0.0397,-0.002
1.7,6.07,0.0331,0.0002
1.71,6.05,0.0335,0.0011
1.72,6.07,0.0339,-0.0003
1.73,6.09,0.0347,0.0015
1.74,6.1,0.0347,0.0003
1.75,6.1,0.0346,0.0003
1.76,6.1,0.0353,0.0003
1.77,6.03,0.0343,-0.0017
1.78,6.04,0.0344,-0.0013
1.79,6.02,0.0334,-0.0006
1.8,6.01,0.0342,0.0009
1.81,6.01,0.0353,-0.0002
1.82,6.01,0.0375,-0.0004
1.83,6.02,0.038,0
1.84,6.05,0.0373,0.0001
1.85,6.1,0.0372,0.0005
1.86,6.23,0.0377,-0.0001
1.87,6.44,0.0383,0.0002
1.88,6.51,0.039,0.0004
1.89,6.67,0.0393,-0.0008
1.9,6.8,0.0399,0.0016
1.91,6.94,0.0415,0.0016
1.92,7.02,0.0436,0.0017
1.93,7.07,0.0445,0.0016
1.94,7.17,0.0451,0.0008
1.95,7.24,0.0457,0.0009
1.96,7.32,0.0447,0.0009
1.97,7.3,0.0456,-0.0007
1.98,7.34,0.0463,-0.0003
1.99,7.32,0.0473,0.0011
2,7.34,0.0488,0.0004
2.01,7.34,0.0492,0.0003
2.02,7.38,0.0487,0.0005
2.03,7.49,0.049,0.0009
2.04,7.61,0.0486,0.002
2.05,7.74,0.0478,0.0013
2.06,7.76,0.0491,0.0025
2.07,7.85,0.0532,0.0016
2.08,7.91,0.0539,0.0019
2.09,7.95,0.0544,0.0004
2.1,7.95,0.0544,-0.0002
2.11,7.99,0.0541,0.0003
2.12,7.99,0.0563,0.0008
2.13,8.02,0.0557,0.002
2.14,8.01,0.0558,0.0029
2.15,8.02,0.0546,0.0023
2.16,8.06,0.0572,0.0018
2.17,8.12,0.058,0.0029
2.18,8.14,0.0596,0.0017
2.19,8.17,0.0598,0.001
2.2,8.18,0.0593,0.0008
2.21,8.23,0.0601,0.0035
2.22,8.34,0.0581,-0.0001
2.23,8.4,0.0564,0.002
2.24,8.4,0.0553,0.0015
2.25,8.5,0.0581,0.0021
2.26,8.59,0.0568,0.0009
2.27,8.56,0.0589,0.0028
2.28,8.56,0.0587,0.0009
2.29,8.65,0.0589,0.0012
2.3,8.67,0.0588,0.0009
2.31,8.65,0.0613,0.001
2.32,8.64,0.0636,-0.0003
2.33,8.56,0.063,0.0018
2.34,8.47,0.0647,0.0003
2.35,8.41,0.0672,0.0016
2.36,8.38,0.0664,0.0013
2.37,8.42,0.0673,-0.0004
2.38,8.06,0.0675,0.0026
2.39,7.9,0.0678,-0.0022
2.4,7.83,0.0704,0.0015
2.41,7.78,0.0751,0.0007
2.42,7.73,0.0745,0.004
2.43,7.75,0.0742,0.001
2.44,7.79,0.0734,0.0016
2.45,7.88,0.0701,0.0035
2.46,8.01,0.0696,0.001
2.47,7.97,0.0676,-0.0002
2.48,7.86,0.0674,-0.0046
2.49,7.94,0.0648,0.0022
2.5,8.22,0.0651,-0.0001
2.51,8.49,0.0664,0.002
2.52,8.82,0.0663,0.0039
2.53,8.98,0.0672,0.0038
2.54,9.34,0.0671,0.0025
2.55,9.48,0.0596,0.0024
2.56,9.72,0.0613,0.0031
2.57,9.83,0.0634,0.0032
2.58,9.96,0.0651,0.0027
2.59,10.05,0.0671,0.003
2.6,10.12,0.0676,0.0023
2.61,10.13,0.0701,0.0039
2.62,10.2,0.0709,0.0034
2.63,10.35,0.0723,0.0023
2.64,10.39,0.0733,0.0042
2.65,10.42,0.0732,0.0044
2.66,10.51,0.0732,0.0028
2.67,10.53,0.0732,0.0048
2.68,10.68,0.0732,0.004
2.69,10.74,0.0893,0.0044
2.7,10.88,0.0911,0.0018
2.71,11.07,0.092,0.002
2.72,11.21,0.0924,-0.0031
2.73,11.21,0.0967,-0.0031
2.74,11.21,0.0952,-0.0031
2.75,11.21,0.0989,-0.0031
2.76,11.19,0.0989,0.0022
2.77,11.31,0.0987,0.0016
2.78,11.46,0.0996,0.0026
2.79,11.5,0.0998,0.0032
2.8,11.69,0.0993,0.0026
2.81,11.63,0.0964,0.0025
2.82,11.66,0.0963,0.0031
2.83,11.68,0.0924,0.0016
2.84,11.7,0.0908,0.0011
2.85,11.71,0.0928,0.0008
2.86,11.7,0.093,0.0008
2.87,11.66,0.0929,0.0019
2.88,11.63,0.0925,0.0031
2.89,11.55,0.0925,0.0039
2.9,11.48,0.0886,0.0009
2.91,11.49,0.0866,0.005
2.92,11.46,0.0844,0.0011
2.93,11.32,0.0847,0.0034
2.94,11.29,0.0818,-0.0005
2.95,11.25,0.0872,0.0023
2.96,11.25,0.0894,0.0023
2.97,11.39,0.0873,0.0034
2.98,11.45,0.0857,0.0029
2.99,11.63,0.0858,0.0001
3,11.84,0.0852,0.006
3.01,12.17,0.0852,-0.002
3.02,12.56,0.0868,0.0025
3.03,12.86,0.0881,0.006
3.04,13.21,0.0879,-0.0028
3.05,13.7,0.0903,0.0036
3.06,13.85,0.0928,0.0007
3.07,14.01,0.0946,0.0031
3.08,14.07,0.0984,0.0018
3.09,13.93,0.0977,0.0032
3.1,13.84,0.0964,0.0034
3.11,13.55,0.0971,0.0017
3.12,13.43,0.0988,0.0039
3.13,13.28,0.0992,0.0044
3.14,12.88,0.0995,0
3.15,12.43,0.1004,0.0053
3.16,12.22,0.0957,0.0032
3.17,11.88,0.0935,0.0012
3.18,11.72,0.0893,0.0019
3.19,11.53,0.092,0.0028
3.2,11.12,0.094,0.0012
3.21,10.93,0.0892,0.002
3.22,10.64,0.089,0.0028
3.23,10.51,0.084,0.0005
3.24,10.38,0.082,-0.0001
3.25,10.24,0.0765,-0.0027
3.26,10.09,0.0759,0.0011
3.27,9.99,0.074,0.006
3.28,9.9,0.0756,0.001
3.29,9.83,0.0738,0.0032
3.3,9.73,0.0742,0.0028
3.31,9.77,0.0746,0.0038
3.32,9.84,0.0771,0.0003
3.33,9.86,0.0722,0.0035
3.34,9.92,0.0712,0.004
3.35,9.91,0.0713,0.0054
3.36,9.89,0.0701,0.005
3.37,9.82,0.0683,-0.0001
3.38,9.72,0.0673,0.0021
3.39,9.65,0.0689,0.0052
3.4,9.62,0.0663,0.0035
3.41,9.61,0.0681,0.0046
3.42,9.6,0.0638,0.003
3.43,9.64,0.0633,0.0035
3.44,9.65,0.0631,0.0034
3.45,9.8,0.0633,0.0012
3.46,9.78,0.0588,-0.001
3.47,9.76,0.0593,-0.006
3.48,9.76,0.0593,0.0048
3.49,9.63,0.0605,0.0024
3.5,9.62,0.0617,0.0012
3.51,9.57,0.0634,0.0046
3.52,9.56,0.0639,0.0042
3.53,9.47,0.0767,0.0033
3.54,9.3,0.0765,0.0025
3.55,9.19,0.0794,0
3.56,9.2,0.0765,0.0033
3.57,9.24,0.0765,0.0031
3.58,9.16,0.075,0.0074
3.59,9.17,0.0695,-0.0024
3.6,9.21,0.0676,-0.0016
3.61,9.33,0.0681,-0.0059
3.62,9.31,0.0664,0.0081
3.63,9.46,0.0703,0.0017
