d,vs
1.25,204
1.75,102
2.25,40
2.75,50
3.25,40
3.75,68
4.25,70
4.75,76
5.25,112
5.75,135
6.25,128
6.75,68
7.25,104
7.75,112
8.25,98
8.75,101
9.25,110
9.75,105
10.25,118
10.75,138
11.25,134
11.75,122
12.25,135
12.75,131
13.25,118
13.75,132
14.25,134
14.75,132
15.25,126
15.75,102
16.25,170
16.75,133
17.25,97
17.75,96
18.25,131
18.75,115
19.25,100
19.75,153
20.25,113
20.75,112
21.25,146
21.75,138
22.25,155
22.75,165
23.25,175
23.75,173
24.25,168
24.75,175
25.25,182
25.75,182
26.25,194
26.75,183
27.25,158
27.75,155
28.25,168
28.75,170
29.25,142
