File Code,Original Filename,First Measured Depth (m),Depth Difference Median (m),"Expanded Start Depth (d_new, m)"
114319,SCPT_114319.csv,2.0,1.0,1.0
114322,SCPT_114322.csv,2.0,1.0,1.0
124801,SCPT_124801.csv,1.0,0.5,0.5
124802,SCPT_124802.csv,1.0,0.5,0.5
125043,SCPT_125043.csv,1.5,0.5,1.0
126232,SCPT_126232.csv,7.0,1.0,6.0
128450,SCPT_128450.csv,7.0,1.0,6.0
129759,SCPT_129759.csv,1.75,0.5,1.25
129760,SCPT_129760.csv,1.25,0.5,0.75
129761,SCPT_129761.csv,1.25,0.5,0.75
129763,SCPT_129763.csv,1.25,0.5,0.75
129764,SCPT_129764.csv,1.75,0.5,1.25
136515,SCPT_136515.csv,1.0,1.0,0.0
140250,SCPT_140250.csv,2.0,1.0,1.0
140251,SCPT_140251.csv,2.0,1.0,1.0
140253,SCPT_140253.csv,2.0,1.0,1.0
140254,SCPT_140254.csv,2.0,1.0,1.0
140257,SCPT_140257.csv,3.0,1.0,2.0
140260,SCPT_140260.csv,2.0,1.0,1.0
140262,SCPT_140262.csv,2.0,1.0,1.0
140263,SCPT_140263.csv,2.0,1.0,1.0
14526,SCPT_14526.csv,5.0,2.0,3.0
14529,SCPT_14529.csv,7.0,2.0,5.0
14538,SCPT_14538.csv,4.0,2.0,2.0
14539,SCPT_14539.csv,4.0,2.0,2.0
14540,SCPT_14540.csv,5.0,2.0,3.0
14541,SCPT_14541.csv,5.0,2.0,3.0
14543,SCPT_14543.csv,4.0,2.0,2.0
14548,SCPT_14548.csv,4.0,2.0,2.0
14550,SCPT_14550.csv,4.0,2.0,2.0
14552,SCPT_14552.csv,4.0,2.0,2.0
14556,SCPT_14556.csv,4.0,2.0,2.0
14651,SCPT_14651.csv,5.0,2.0,3.0
148992,SCPT_148992.csv,1.0,1.0,0.0
148995,SCPT_148995.csv,1.0,1.0,0.0
148998,SCPT_148998.csv,1.0,1.0,0.0
148999,SCPT_148999.csv,1.0,1.0,0.0
154032,SCPT_154032.csv,1.25,0.5,0.75
154771,SCPT_154771.csv,5.2,3.3900000000000006,1.8099999999999996
154775,SCPT_154775.csv,1.7,6.5,0.0
156296,SCPT_156296.csv,3.0,0.5,2.5
156298,SCPT_156298.csv,2.5,0.5,2.0
156300,SCPT_156300.csv,2.5,0.5,2.0
156301,SCPT_156301.csv,3.0,1.0,2.0
156307,SCPT_156307.csv,1.0,0.5,0.5
156308,SCPT_156308.csv,1.0,0.5,0.5
156310,SCPT_156310.csv,1.0,0.5,0.5
156311,SCPT_156311.csv,1.0,0.5,0.5
165738,SCPT_165738.csv,1.0,1.0,0.0
165739,SCPT_165739.csv,1.0,1.0,0.0
182797,SCPT_182797.csv,1.0,0.5,0.5
184148,SCPT_184148.csv,1.0,0.5,0.5
192457,SCPT_192457.csv,1.0,0.5,0.5
192465,SCPT_192465.csv,1.0,0.5,0.5
192469,SCPT_192469.csv,1.0,,
192473,SCPT_192473.csv,1.5,0.5,1.0
192478,SCPT_192478.csv,1.5,0.5,1.0
192480,SCPT_192480.csv,1.0,0.5,0.5
192483,SCPT_192483.csv,1.0,0.5,0.5
195188,SCPT_195188.csv,1.0,0.5,0.5
195941,SCPT_195941.csv,1.5,0.5,1.0
196093,SCPT_196093.csv,1.0,0.5,0.5
205817,SCPT_205817.csv,1.0,0.5,0.5
205818,SCPT_205818.csv,0.5,0.5,0.0
217000,SCPT_217000.csv,1.0,1.0,0.0
218529,SCPT_218529.csv,1.0,0.5,0.5
218970,SCPT_218970.csv,1.0,0.5,0.5
229870,SCPT_229870.csv,1.25,0.5,0.75
234267,SCPT_234267.csv,2.0,1.0,1.0
240353,SCPT_240353.csv,0.8,0.5,0.30000000000000004
36413,SCPT_36413.csv,2.0,1.0,1.0
57279,SCPT_57279.csv,0.5,0.5,0.0
57280,SCPT_57280.csv,0.5,0.5,0.0
57339,SCPT_57339.csv,0.5,0.5,0.0
57341,SCPT_57341.csv,0.5,0.5,0.0
57342,SCPT_57342.csv,0.5,0.5,0.0
57343,SCPT_57343.csv,0.5,0.5,0.0
57345,SCPT_57345.csv,0.5,0.5,0.0
57346,SCPT_57346.csv,0.5,0.5,0.0
57347,SCPT_57347.csv,0.5,0.5,0.0
57348,SCPT_57348.csv,0.5,0.5,0.0
57349,SCPT_57349.csv,0.5,0.5,0.0
57350,SCPT_57350.csv,0.5,0.5,0.0
57351,SCPT_57351.csv,0.5,0.5,0.0
57353,SCPT_57353.csv,0.5,0.5,0.0
57354,SCPT_57354.csv,0.5,0.5,0.0
57355,SCPT_57355.csv,0.5,0.5,0.0
57356,SCPT_57356.csv,0.5,0.5,0.0
57357,SCPT_57357.csv,0.5,0.5,0.0
57358,SCPT_57358.csv,0.5,0.5,0.0
57359,SCPT_57359.csv,0.5,0.5,0.0
57360,SCPT_57360.csv,0.5,0.5,0.0
57362,SCPT_57362.csv,0.5,0.5,0.0
57363,SCPT_57363.csv,1.0,0.5,0.5
57364,SCPT_57364.csv,0.5,0.5,0.0
57365,SCPT_57365.csv,0.5,0.5,0.0
57366,SCPT_57366.csv,0.5,0.5,0.0
61758,SCPT_61758.csv,0.5,0.5,0.0
94658,SCPT_94658.csv,3.0,1.0,2.0
100703,SDMT_100703.csv,1.0,0.5,0.5
122141,SDMT_122141.csv,1.5,0.5,1.0
122142,SDMT_122142.csv,0.5,0.5,0.0
123178,SDMT_123178.csv,1.5,0.5,1.0
123208,SDMT_123208.csv,3.5,0.5,3.0
124803,SDMT_124803.csv,1.0,0.5,0.5
139896,SDMT_139896.csv,1.0,0.5,0.5
139897,SDMT_139897.csv,1.0,0.5,0.5
141748,SDMT_141748.csv,1.0,0.5,0.5
156435,SDMT_156435.csv,2.0,0.5,1.5
156436,SDMT_156436.csv,2.0,0.5,1.5
156437,SDMT_156437.csv,2.0,0.5,1.5
156438,SDMT_156438.csv,2.0,0.5,1.5
156439,SDMT_156439.csv,2.0,0.5,1.5
167216,SDMT_167216.csv,1.5,0.5,1.0
167294,SDMT_167294.csv,2.0,0.5,1.5
167295,SDMT_167295.csv,1.5,0.5,1.0
167297,SDMT_167297.csv,1.0,0.5,0.5
173187,SDMT_173187.csv,1.5,0.5,1.0
178944,SDMT_178944.csv,1.0,1.0,0.0
178947,SDMT_178947.csv,1.0,1.0,0.0
183366,SDMT_183366.csv,1.0,0.5,0.5
183367,SDMT_183367.csv,2.0,0.5,1.5
66983,SDMT_66983.csv,1.0,0.5,0.5
66984,SDMT_66984.csv,1.0,0.5,0.5
67002,SDMT_67002.csv,1.0,0.5,0.5
67003,SDMT_67003.csv,1.0,0.5,0.5
67004,SDMT_67004.csv,2.0,0.5,1.5
76073,SDMT_76073.csv,1.0,0.5,0.5
92524,SDMT_92524.csv,1.0,0.5,0.5
92525,SDMT_92525.csv,1.0,0.5,0.5
92526,SDMT_92526.csv,2.0,0.5,1.5
92527,SDMT_92527.csv,1.5,0.5,1.0
92532,SDMT_92532.csv,1.0,0.5,0.5
92534,SDMT_92534.csv,1.5,0.5,1.0
92535,SDMT_92535.csv,2.0,0.5,1.5
92536,SDMT_92536.csv,2.5,0.5,2.0
92537,SDMT_92537.csv,1.0,0.5,0.5
92538,SDMT_92538.csv,2.0,0.5,1.5
92539,SDMT_92539.csv,1.0,0.5,0.5
92540,SDMT_92540.csv,2.5,0.5,2.0
92541,SDMT_92541.csv,1.0,0.5,0.5
92542,SDMT_92542.csv,1.5,0.5,1.0
92543,SDMT_92543.csv,1.0,0.5,0.5
92544,SDMT_92544.csv,1.0,0.5,0.5
92545,SDMT_92545.csv,1.0,0.5,0.5
92546,SDMT_92546.csv,1.0,0.5,0.5
92547,SDMT_92547.csv,2.0,0.5,1.5
92548,SDMT_92548.csv,1.0,0.5,0.5
92549,SDMT_92549.csv,1.5,0.5,1.0
92554,SDMT_92554.csv,2.0,0.5,1.5
92555,SDMT_92555.csv,2.0,0.5,1.5
92556,SDMT_92556.csv,2.0,0.5,1.5
92557,SDMT_92557.csv,2.5,0.5,2.0
93612,SDMT_93612.csv,1.0,0.5,0.5
